x,y,shade_hours,shade_pct,dist_to_crescent_m,dist_to_edge_m,dist_to_tree_m,trees_within_10m,trees_within_20m,canopy_overhead,under_crescent_walk,under_gridshell,zone,category,albedo,sky_view_factor,summer_heat_index_c,comfort_gain_c,comfort_band,n_summer_hours_sampled
103.5,0.5,132.06,3.0,42.72500443043386,0.5,36.49904858358808,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.79081389496349,0.23236026883211025,Danger,1058
104.5,0.5,132.06,3.0,42.87941547048225,0.5,36.70170533393769,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.79081389496349,0.23236026883211025,Danger,1058
105.5,0.5,132.06,3.0,43.04141255247693,0.5,36.93033714077435,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.79081389496349,0.23236026883211025,Danger,1058
106.5,0.5,132.06,3.0,43.211235384456636,0.5,37.18446487773253,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.79081389496349,0.23236026883211025,Danger,1058
107.5,0.5,132.06,3.0,43.385524060888386,0.5,37.432550953600234,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.79081389496349,0.23236026883211025,Danger,1058
108.5,0.5,132.06,3.0,43.5617860825183,0.5,37.50963804793852,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.79081389496349,0.23236026883211025,Danger,1058
109.5,0.5,132.06,3.0,43.745882558474904,0.5,37.61316288323593,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.79081389496349,0.23236026883211025,Danger,1058
110.5,0.5,132.06,3.0,43.93781228070091,0.5,37.74290791227295,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.79081389496349,0.23236026883211025,Danger,1058
111.5,0.5,132.06,3.0,44.12999460742816,0.5,37.89860384325253,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.79081389496349,0.23236026883211025,Danger,1058
112.5,0.5,132.06,3.0,44.32832519312096,0.5,38.07993236418987,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.79081389496349,0.23236026883211025,Danger,1058
113.5,0.5,143.065,3.25,44.53449881159346,0.5,38.28652928191264,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.7714371930752,0.25173697072040113,Danger,1058
114.5,0.5,143.065,3.25,44.74538780956993,0.5,38.517988006232024,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.7714371930752,0.25173697072040113,Danger,1058
115.5,0.5,143.065,3.25,44.957913232833526,0.5,38.773863305604635,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.7714371930752,0.25173697072040113,Danger,1058
116.5,0.5,143.065,3.25,45.178292310858616,0.5,39.05367525899698,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.7714371930752,0.25173697072040113,Danger,1058
117.5,0.5,132.06,3.0,45.40652334298407,0.5,39.35691332953681,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.79081389496349,0.23236026883211025,Danger,1058
118.5,0.5,132.06,3.0,45.63397552054261,0.5,39.683040488628784,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.79081389496349,0.23236026883211025,Danger,1058
119.5,0.5,132.06,3.0,45.86852283295598,0.5,39.82212100418915,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.79081389496349,0.23236026883211025,Danger,1058
